date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:10	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5c6a73fb7241a%22	https://hoangduyentv.xyz/robots.txt		(from )
10:46:11	379/379	---MC-	302	error ('Found')	text/html	date:Wed,%2001%20Sep%202021%2003:46:10%20GMT	https://hoangduyentv.xyz/	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/index.html	(from )
10:46:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Sep%202021%2003:46:12%20GMT	http://hoangduyentv.xyz/dang-nhap	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/dang-nhap.0.delayed	(from https://hoangduyentv.xyz/)
10:46:14	18581/18581	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Sep%202021%2003:46:13%20GMT	https://hoangduyentv.xyz/dang-nhap	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/dang-nhap.html	(from https://hoangduyentv.xyz/)
10:46:14	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Sep%202021%2003:46:14%20GMT	https://hoangduyentv.xyz/HO%c3%80NG%20DUY%c3%8aN%20TV	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/HO%c3%80NG%20DUY%c3%8aN%20TV	(from https://hoangduyentv.xyz/dang-nhap)
10:46:15	6586/6586	---MCZ	200	added ('OK')	text/css	etag:W/%2219ba-5c6a73fb71862%22	https://hoangduyentv.xyz/assets/plugins/vectormap/jquery-jvectormap-2.0.2.css	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/plugins/vectormap/jquery-jvectormap-2.0.2.css	(from https://hoangduyentv.xyz/dang-nhap)
10:46:16	2964/2964	---MCZ	200	added ('OK')	text/css	etag:W/%22b94-5c6a73fb7147a%22	https://hoangduyentv.xyz/assets/plugins/simplebar/css/simplebar.css	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/plugins/simplebar/css/simplebar.css	(from https://hoangduyentv.xyz/dang-nhap)
10:46:18	1819/1819	---MCZ	200	added ('OK')	text/css	etag:W/%2271b-5c6a73fb71092%22	https://hoangduyentv.xyz/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	(from https://hoangduyentv.xyz/dang-nhap)
10:46:20	1922/1922	---MCZ	200	added ('OK')	text/css	etag:W/%22782-5c6a73fb704da%22	https://hoangduyentv.xyz/assets/plugins/metismenu/css/metisMenu.min.css	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/plugins/metismenu/css/metisMenu.min.css	(from https://hoangduyentv.xyz/dang-nhap)
10:46:21	1738/1738	---MCZ	200	added ('OK')	text/css	etag:W/%226ca-5c6a73fb3e7f8%22	https://hoangduyentv.xyz/assets/css/pace.min.css	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/css/pace.min.css	(from https://hoangduyentv.xyz/dang-nhap)
10:46:22	12293/12293	---MCZ	200	added ('OK')	application/javascript	etag:W/%223005-5c6a73fb67452%22	https://hoangduyentv.xyz/assets/js/pace.min.js	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/js/pace.min.js	(from https://hoangduyentv.xyz/dang-nhap)
10:46:23	177354/177354	---MCZ	200	added ('OK')	text/css	etag:W/%222b4ca-5c6a73fb3e028%22	https://hoangduyentv.xyz/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/css/bootstrap.min.css	(from https://hoangduyentv.xyz/dang-nhap)
